# day,hour,isoprene,MBO,pinenes,ocimenes,carene,limonene,cymene,camphor,b-caryophyllene,longifolene,methanol,acetone,acetaldehyde and ethanol,formic acid; acetic acid; pyruvic acid,ethene; ethane,methacrolein,linalool,other VOC,CO
200.000,  0.000,  0.000,  0.000,  0.410,  0.031,  0.164,  0.246,  0.150,  0.205,  0.012,  0.054,  0.000,  0.491,  0.124,  0.082,  1.637,  0.027,  0.007,  0.491,  0.000
200.000,  0.500,  0.000,  0.000,  0.475,  0.036,  0.190,  0.285,  0.174,  0.237,  0.013,  0.057,  0.000,  0.525,  0.134,  0.089,  1.751,  0.029,  0.007,  0.525,  0.000
200.000,  1.000,  0.000,  0.000,  0.405,  0.030,  0.162,  0.243,  0.149,  0.203,  0.012,  0.052,  0.000,  0.486,  0.121,  0.081,  1.621,  0.027,  0.007,  0.486,  0.000
200.000,  1.500,  0.000,  0.000,  0.415,  0.031,  0.166,  0.249,  0.152,  0.208,  0.013,  0.054,  0.000,  0.498,  0.125,  0.083,  1.661,  0.028,  0.007,  0.498,  0.000
200.000,  2.000,  0.000,  0.000,  0.378,  0.028,  0.151,  0.227,  0.138,  0.189,  0.011,  0.046,  0.000,  0.453,  0.110,  0.074,  1.511,  0.025,  0.006,  0.453,  0.000
200.000,  2.500,  0.000,  0.000,  0.399,  0.030,  0.159,  0.239,  0.146,  0.199,  0.012,  0.051,  0.000,  0.478,  0.118,  0.079,  1.595,  0.027,  0.007,  0.478,  0.000
200.000,  3.000,  0.000,  0.000,  0.363,  0.027,  0.145,  0.218,  0.133,  0.181,  0.010,  0.043,  0.000,  0.435,  0.105,  0.070,  1.451,  0.024,  0.006,  0.435,  0.000
200.000,  3.500,  0.000,  0.000,  0.369,  0.028,  0.147,  0.221,  0.135,  0.184,  0.010,  0.044,  0.000,  0.442,  0.107,  0.071,  1.474,  0.025,  0.006,  0.442,  0.000
200.000,  4.000,  0.000,  0.000,  0.350,  0.026,  0.140,  0.210,  0.128,  0.175,  0.009,  0.041,  0.000,  0.419,  0.100,  0.067,  1.398,  0.023,  0.006,  0.419,  0.000
200.000,  4.500,  0.000,  0.000,  0.358,  0.027,  0.143,  0.215,  0.131,  0.179,  0.010,  0.042,  0.000,  0.429,  0.103,  0.069,  1.431,  0.024,  0.006,  0.429,  0.000
200.000,  5.000,  5.907,  0.000,  0.474,  0.081,  0.149,  0.244,  0.174,  0.186,  0.012,  0.051,  0.812,  0.447,  0.186,  0.124,  1.490,  0.025,  0.011,  0.447,  0.002
200.000,  5.500,  1.964,  0.000,  0.391,  0.045,  0.143,  0.221,  0.143,  0.179,  0.010,  0.044,  0.271,  0.429,  0.128,  0.086,  1.429,  0.024,  0.008,  0.429,  0.001
200.000,  6.000, 16.341,  0.000,  0.723,  0.178,  0.179,  0.324,  0.265,  0.224,  0.018,  0.079,  2.145,  0.537,  0.351,  0.234,  1.789,  0.030,  0.021,  0.537,  0.006
200.000,  6.500, 15.182,  0.000,  0.672,  0.168,  0.164,  0.299,  0.246,  0.205,  0.016,  0.068,  2.098,  0.492,  0.322,  0.214,  1.641,  0.027,  0.020,  0.492,  0.006
200.000,  7.000, 31.616,  0.000,  1.116,  0.313,  0.243,  0.466,  0.409,  0.303,  0.032,  0.139,  3.729,  0.728,  0.616,  0.411,  2.426,  0.040,  0.036,  0.728,  0.011
200.000,  7.500, 30.213,  0.000,  1.036,  0.304,  0.214,  0.421,  0.380,  0.267,  0.026,  0.115,  3.844,  0.641,  0.567,  0.378,  2.135,  0.036,  0.034,  0.641,  0.012
200.000,  8.000, 48.766,  0.000,  1.524,  0.455,  0.307,  0.611,  0.559,  0.383,  0.049,  0.212,  5.281,  0.920,  0.911,  0.607,  3.066,  0.051,  0.051,  0.920,  0.016
200.000,  8.500, 46.426,  0.000,  1.434,  0.439,  0.279,  0.566,  0.526,  0.348,  0.042,  0.184,  5.297,  0.836,  0.848,  0.566,  2.787,  0.046,  0.048,  0.836,  0.016
