# day,hour,Isop_obs,Isop_mod,Tem(Celcius),PPFD(umol/m2/s),LAI,Swc_10cm
200.000,  0.000,    nan,  0.000, 31.739,  0.079,  2.535,  0.218
200.000,  0.500,    nan,  0.000, 32.274,  0.079,  2.705,  0.218
200.000,  1.000,    nan,  0.000, 31.195,  0.080,  1.944,  0.217
200.000,  1.500,    nan,  0.000, 31.520,  0.079,  2.260,  0.218
200.000,  2.000,    nan,  0.000, 30.276,  0.090,  2.409,  0.217
200.000,  2.500,    nan,  0.000, 30.937,  0.086,  2.410,  0.217
200.000,  3.000,    nan,  0.000, 29.602,  0.092,  2.312,  0.217
200.000,  3.500,    nan,  0.000, 29.881,  0.089,  2.776,  0.217
200.000,  4.000,    nan,  0.000, 29.105,  2.018,  2.446,  0.217
200.000,  4.500,    nan,  0.000, 29.421,  0.105,  2.412,  0.217
200.000,  5.000,    nan,  1.448, 29.011,139.476,  2.210,  0.216
200.000,  5.500,    nan,  0.482, 29.057, 32.013,  2.397,  0.216
200.000,  6.000,  1.998,  4.007, 29.563,497.681,  1.980,  0.216
200.000,  6.500,  0.863,  3.723, 28.956,307.078,  2.128,  0.216
200.000,  7.000,  5.398,  7.753, 32.132,903.810,  2.673,  0.216
200.000,  7.500,  4.694,  7.409, 30.708,686.749,  1.623,  0.216
200.000,  8.000,  8.822, 11.959, 34.604,1273.720,  3.385,  0.216
200.000,  8.500,  5.884, 11.385, 33.432,1098.990,  2.972,  0.216
200.000,  9.000,  9.608, 15.684, 36.540,1589.570,  3.934,  0.216
200.000,  9.500,  7.658, 14.651, 35.425,1432.710,  3.730,  0.216
200.000, 10.000, 11.422, 17.784, 37.719,1808.500,  3.470,  0.217
200.000, 10.500,  9.232, 16.938, 36.850,1724.380,  4.333,  0.216
200.000, 11.000, 11.478, 18.433, 38.421,1761.070,  3.678,  0.218
200.000, 11.500, 10.631, 18.871, 38.380,1920.850,  3.501,  0.217
200.000, 12.000,  9.956, 19.535, 39.413,1893.440,  3.064,  0.218
200.000, 12.500,  9.540, 18.246, 38.550,1656.830,  3.244,  0.218
200.000, 13.000,  9.409, 19.411, 39.652,1728.290,  3.907,  0.219
200.000, 13.500, 11.801, 18.638, 39.418,1702.690,  3.407,  0.218
200.000, 14.000,  8.087, 18.551, 40.008,1415.860,  3.438,  0.219
200.000, 14.500,  7.585, 17.045, 39.348,1163.920,  3.673,  0.219
200.000, 15.000,  7.470, 16.639, 39.708,1113.300,  4.021,  0.219
200.000, 15.500,  7.680, 16.514, 39.716,1300.460,  4.154,  0.219
200.000, 16.000,  5.607, 14.568, 39.872,717.126,  3.523,  0.219
200.000, 16.500,  7.381, 14.663, 40.125,968.156,  3.062,  0.219
200.000, 17.000,  4.696,  6.600, 39.794,186.356,  3.393,  0.220
200.000, 17.500,  5.604, 11.522, 39.967,504.144,  2.889,  0.220
200.000, 18.000,  1.572,  3.048, 39.095, 82.757,  2.160,  0.220
200.000, 18.500,  3.469,  4.556, 39.526,127.024,  2.952,  0.220
200.000, 19.000,    nan,  0.139, 37.861,  4.013,  2.000,  0.220
200.000, 19.500,    nan,  0.000, 38.526, 32.649,  2.003,  0.220
200.000, 20.000,    nan,  0.000, 36.892,  0.030,  2.264,  0.219
200.000, 20.500,    nan,  0.000, 37.478,  0.177,  2.379,  0.219
200.000, 21.000, -0.138,  0.000, 35.783,  0.042,  3.043,  0.219
200.000, 21.500,    nan,  0.000, 36.381,  0.042,  2.878,  0.219
200.000, 22.000,    nan,  0.000, 34.525,  0.056,  2.904,  0.219
200.000, 22.500,    nan,  0.000, 34.920,  0.048,  3.016,  0.219
200.000, 23.000,    nan,    nan,    nan,    nan,    nan,    nan
200.000, 23.500,  0.128,    nan, 33.857,  0.059,  3.019,  0.219
201.000,  0.000,  0.094,  0.000, 32.672,  0.063,  2.636,  0.218
201.000,  0.500,    nan,  0.000, 32.974,  0.067,  2.613,  0.218
201.000,  1.000, -0.100,  0.000, 32.151,  0.072,  2.894,  0.218
201.000,  1.500,    nan,  0.000, 32.403,  0.072,  2.668,  0.218
201.000,  2.000,  0.125,  0.000, 31.635,  0.078,  2.653,  0.218
201.000,  2.500,  0.090,  0.000, 31.504,  0.077,  2.835,  0.218
201.000,  3.000,  0.112,  0.000, 30.955,  0.074,  4.321,  0.217
201.000,  3.500,  0.230,  0.000, 32.211,  0.087,  4.308,  0.217
201.000,  4.000,  0.029,  0.000, 29.441,  0.433,  2.759,  0.217
201.000,  4.500,    nan,  0.000, 29.494,  0.072,  2.745,  0.217
201.000,  5.000,    nan,  0.347, 28.396, 26.122,  1.956,  0.217
201.000,  5.500,    nan,  0.045, 27.972,  3.482,  1.946,  0.217
201.000,  6.000,  0.190,  2.083, 27.037,191.951,  2.899,  0.217
201.000,  6.500,  0.114,  1.058, 27.224, 90.522,  3.234,  0.217
201.000,  7.000,  0.652,  4.040, 28.134,363.999,  1.810,  0.216
201.000,  7.500,    nan,  3.048, 27.395,271.346,  1.164,  0.216
201.000,  8.000,  3.245,  6.909, 30.179,585.962,  1.176,  0.216
201.000,  8.500,  1.754,  6.239, 29.047,585.014,  0.982,  0.216
201.000,  9.000,    nan,  7.736, 30.468,673.338,  0.814,  0.216
201.000,  9.500,    nan,  4.943, 30.338,344.388,  1.138,  0.216
201.000, 10.000, 10.086, 12.926, 33.746,1754.020,  3.307,  0.216
201.000, 10.500,  9.002, 11.325, 31.653,1408.610,  1.520,  0.216
201.000, 11.000, 11.645, 17.013, 36.868,1785.650,  2.481,  0.217
201.000, 11.500,  9.177, 14.412, 34.578,1960.750,  3.250,  0.216
201.000, 12.000, 10.744, 15.213, 37.031,1262.880,  4.141,  0.217
201.000, 12.500,  7.107, 16.388, 37.074,1639.170,  3.744,  0.217
201.000, 13.000,  8.930, 17.154, 37.858,1817.680,  5.495,  0.217
201.000, 13.500,  9.522, 17.128, 37.761,1814.540,  4.403,  0.217
201.000, 14.000,  9.812, 17.320, 38.790,1522.500,  3.776,  0.218
201.000, 14.500,  7.305, 17.268, 38.716,1676.650,  3.643,  0.217
201.000, 15.000,  6.797, 16.467, 38.940,1194.950,  3.341,  0.218
201.000, 15.500,  8.696, 15.277, 38.610,1212.800,  3.365,  0.218
201.000, 16.000,  6.584, 14.116, 39.104,810.508,  2.812,  0.218
201.000, 16.500,  5.743, 13.520, 38.853,1006.260,  3.351,  0.218
201.000, 17.000,  4.971,  4.487, 38.524,154.270,  3.321,  0.218
201.000, 17.500,  3.716,  9.878, 38.863,525.607,  3.841,  0.218
201.000, 18.000,  2.379,  2.256, 37.972, 74.999,  2.226,  0.218
201.000, 18.500,  3.151,  2.997, 38.403,103.436,  2.281,  0.218
201.000, 19.000,    nan,  0.130, 36.525,  4.633,  2.656,  0.218
201.000, 19.500,  0.713,  0.000, 37.232, 33.389,  2.352,  0.218
201.000, 20.000, -0.207,  0.000, 34.669,  0.039,  2.023,  0.218
201.000, 20.500,    nan,  0.000, 35.630,  0.227,  1.555,  0.218
201.000, 21.000,  0.071,  0.000, 33.000,  0.059,  2.390,  0.218
201.000, 21.500,  0.154,  0.000, 33.904,  0.050,  2.519,  0.218
201.000, 22.000,  0.102,  0.000, 31.185,  0.065,  2.529,  0.217
201.000, 22.500, -0.061,  0.000, 31.850,  0.061,  2.334,  0.218
201.000, 23.000,    nan,    nan,    nan,    nan,    nan,    nan
201.000, 23.500, -0.052,    nan, 30.621,  0.074,  2.345,  0.217
202.000,  0.000,  0.034,  0.000, 28.935,  0.086,  1.914,  0.217
202.000,  0.500,  0.036,  0.000, 29.546,  0.083,  2.310,  0.217
202.000,  1.000,    nan,  0.000, 27.935,  0.091,  1.240,  0.216
202.000,  1.500,    nan,  0.000, 28.203,  0.087,  1.550,  0.217
202.000,  2.000,  0.018,  0.000, 26.326,  0.096,  1.669,  0.216
202.000,  2.500,  0.018,  0.000, 27.145,  0.095,  1.241,  0.216
202.000,  3.000,    nan,  0.000, 25.437,  0.100,  0.883,  0.216
202.000,  3.500,    nan,  0.000, 25.951,  0.094,  1.159,  0.216
202.000,  4.000,    nan,  0.000, 24.521,  2.400,  0.855,  0.215
202.000,  4.500,    nan,  0.000, 25.155,  0.110,  0.763,  0.216
202.000,  5.000,    nan,  0.556, 24.070,147.913,  1.360,  0.215
202.000,  5.500, -0.017,  0.207, 24.086, 33.413,  1.020,  0.215
202.000,  6.000,  0.922,  1.714, 24.827,531.923,  2.535,  0.215
202.000,  6.500,  0.452,  1.783, 24.512,331.516,  1.950,  0.215
202.000,  7.000,  1.619,  3.059, 26.025,931.570,  2.382,  0.214
202.000,  7.500,  1.252,  3.181, 25.472,735.615,  2.547,  0.214
202.000,  8.000,  3.762,  4.798, 27.757,1322.930,  1.651,  0.214
202.000,  8.500,  3.370,  4.230, 26.447,1132.560,  2.605,  0.214
202.000,  9.000,  2.955,  6.048, 28.921,1647.840,  1.772,  0.214
202.000,  9.500,  3.180,  5.742, 28.132,1519.950,  2.030,  0.214
202.000, 10.000,  3.584,  6.749, 29.581,1885.630,  2.372,  0.214
202.000, 10.500,  3.449,  6.571, 29.272,1783.340,  2.262,  0.214
202.000, 11.000,  5.996,  7.390, 30.271,2016.770,  2.264,  0.215
202.000, 11.500,  4.559,  6.537, 29.107,1975.050,  2.832,  0.215
202.000, 12.000,  3.491,  7.777, 30.958,2011.430,  2.862,  0.215
202.000, 12.500,  4.917,  7.247, 30.227,2031.520,  3.614,  0.215
202.000, 13.000,    nan,  7.866, 31.471,1739.270,  2.943,  0.216
202.000, 13.500,  4.013,  7.959, 31.515,1873.000,  2.389,  0.216
202.000, 14.000,  5.560,  7.454, 31.328,1563.300,  3.518,  0.216
202.000, 14.500,  5.353,  7.608, 31.612,1680.970,  3.187,  0.216
202.000, 15.000,  4.673,  6.501, 30.811,1228.210,  3.640,  0.216
202.000, 15.500,  5.349,  6.227, 30.644,1407.420,  4.293,  0.216
202.000, 16.000,  3.189,  5.615, 30.865,838.192,  3.426,  0.216
202.000, 16.500,  4.428,  5.285, 30.825,1035.780,  3.550,  0.216
202.000, 17.000,  2.080,  1.687, 30.438,151.049,  3.607,  0.216
202.000, 17.500,  2.428,  3.854, 30.637,542.585,  3.484,  0.216
202.000, 18.000,  0.825,  0.808, 30.134, 71.540,  2.722,  0.216
202.000, 18.500,  1.839,  1.114, 30.304, 99.812,  3.429,  0.216
202.000, 19.000,  0.105,  0.045, 29.217,  4.305,  1.985,  0.215
202.000, 19.500,  0.254,  0.000, 29.736, 31.809,  1.956,  0.216
202.000, 20.000,    nan,  0.000, 28.414,  0.105,  2.404,  0.215
202.000, 20.500,    nan,  0.000, 29.053,  0.272,  1.959,  0.215
202.000, 21.000,    nan,  0.000, 26.879,  0.107,  2.268,  0.215
202.000, 21.500,    nan,  0.000, 27.399,  0.104,  2.966,  0.215
