Day,Hour,AirTem(degreeC),RH(%),PPFD(umol/m2/s),LAI,AtmPres(Pa),WSD(m/s),Isop(mg/m2/h),SWC10(m3/m3),Kc,Kc_7d
200,0,31.7395,54.8975,0.0789,3.4324,90000,2.5346,,0.2179,,0.2436
200,0.5,32.2737,52.8785,0.0789,3.4326,90000,2.705,,0.2181,,0.2436
200,1,31.1951,57.2231,0.0797,3.432,90000,1.9443,,0.2175,,0.2436
200,1.5,31.5203,55.9378,0.0794,3.4322,90000,2.2598,,0.2177,,0.2436
200,2,30.276,60.4132,0.0903,3.4317,90000,2.4092,,0.2172,,0.2436
200,2.5,30.9369,58.2758,0.0857,3.4318,90000,2.4103,,0.2173,,0.2436
200,3,29.6024,64.0228,0.0917,3.4313,90000,2.3124,,0.217,,0.2436
200,3.5,29.8808,62.3527,0.0887,3.4315,90000,2.7761,,0.2171,,0.2436
200,4,29.1051,66.2219,2.0179,3.4309,90000,2.446,,0.2166,,0.2436
200,4.5,29.4214,64.7593,0.1052,3.4311,90000,2.4123,,0.2167,,0.2436
200,5,29.0105,65.5746,139.476,3.4306,90000,2.2104,,0.2163,,0.2436
200,5.5,29.0569,66.0889,32.0134,3.4307,90000,2.3972,,0.2164,,0.2436
200,6,29.5633,64.0437,497.681,3.4302,90000,1.9803,1.9984,0.2161,,0.2436
200,6.5,28.9563,65.7038,307.078,3.4304,90000,2.1281,0.8628,0.2161,,0.2436
200,7,32.1321,54.8131,903.81,3.4298,90000,2.6728,5.3978,0.216,,0.2436
200,7.5,30.7084,60.1773,686.749,3.43,90000,1.6232,4.6935,0.216,,0.2436
200,8,34.6042,46.9737,1273.72,3.4295,90000,3.3849,8.8222,0.2161,0.2258,0.2426
200,8.5,33.4323,50.4614,1098.99,3.4296,90000,2.9717,5.8841,0.2161,0.1669,0.242
200,9,36.5404,40.4799,1589.5699,3.4291,90000,3.9345,9.6076,0.2164,0.2515,0.2413
200,9.5,35.4246,44.1761,1432.71,3.4293,90000,3.7302,7.6579,0.2162,0.1351,0.2397
